"Pathway","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"Accidental cell death_GeneCards",0.0128420714042631,0.109495137762543,0.116334328381895,-0.0545167063978805,0.0917370881852402,0.0314009263300466,0.290750439887377,0.300519110928082,0.323318844428642,0.354899045248999,0.393181882302088,0.366164278225748
"Anoikis_LUAD_Prognosis_41187171",-0.00407389504065009,-0.0225674567592251,0.0937614331074616,-0.364886813229838,-0.277203055667421,0.118881747074052,0.517061994331846,0.407612832715116,0.526173749822513,0.322916626112898,0.379764030757406,0.23041975153768
"Anoikis_LUSC_40028162",-0.0201709417188773,0.116161812915794,0.120093164181248,-0.0356502574184486,0.123915287810692,0.0637099619793866,0.365359750591008,0.373109065567774,0.353480255485319,0.421051544692456,0.38708753793916,0.343629201460354
"Anoikis_Pan Cancer_37275895",0.0426689902468446,0.0910384020701356,0.0759579660646987,0.0128828703548656,0.127283263702157,0.062734956934567,0.37106148079849,0.383847152587519,0.398187646335994,0.387672930195722,0.404759623542415,0.370783586546925
"Anoikis_SS_41255601",0.372976727756369,0.0100824715952158,0.16750142031084,-0.228889909798942,-0.0450117151741866,-0.0240208826850146,0.39057763660909,0.460189427936227,0.451422494742692,0.344519972405593,0.319094488963956,0.145617814396735
"Apoptosis_AMI_39650552",0.368313568108629,0.0637770917209164,0.13601959676669,-0.140253547099439,-0.111432680216867,0.164977616975373,0.250596203883979,0.344281661094136,0.328889004255827,0.480078550107487,0.366465650493012,0.274460321539734
"Apoptosis_OS_Prognosis_35576501",-0.118900101473148,0.156009268352649,0.0334964721051803,0.015801756533693,0.179021712885414,0.190899831021174,0.466916368953555,0.344617914785943,0.310374980096062,0.476370169349741,0.440604127386363,0.287670530098569
"Apoptosis_Pan Cancer_35241019",0.0207322052639502,-0.00328039209666509,0.205879742597806,-0.0302696232092711,0.241671423658116,0.16024227888175,0.29382836128194,0.361895085550943,0.431069076713195,0.479668283479493,0.321142215925879,0.154106337667268
"Apoptosis_Pan cancer_36044785",0.123289948866449,0.0479772432010307,0.153133149083882,-0.0457987748398218,0.110861310697426,0.121693331239149,0.334760415569286,0.400630139031247,0.414493612439955,0.393775637116461,0.399234814726853,0.286619729127943
"Apoptosis_Pan Cancer_36703967",0.0729435112596921,0.0452957111089111,0.1612877368375,-0.0811088571311296,0.175093427600646,0.0873738745126958,0.355606248331771,0.382797470223812,0.429886343743343,0.448325543683408,0.36618250848686,0.255193692530146
"Apoptosis_Pan Cancer_37968457",0.0705956958471398,0.0182096117206053,0.127432758501764,0.053297333043723,0.0947700187052177,0.0947368912136826,0.320180296432089,0.325854223244597,0.396631867578273,0.347538778766096,0.39886048569192,0.315649789408641
"Autophagy_HCC_40514326",0.111949341866436,0.216311777491808,0.11943840447726,0.0590551696080379,0.0855726895807695,0.264043237548666,0.32448062216546,0.330055681345729,0.321820820564662,0.457000277574765,0.39478758395644,0.224929356595666
"Autophagy_PAAD_Prognosis_41298756",-0.405549748631154,0.151869622188807,0.21868482662017,-0.0271709989129963,0.365373467390549,0.108658301237771,0.493382289833164,0.2449477894982,0.332626105145131,0.463235496333422,0.444892160496153,0.580326076633767
"Autophagy_Pan Cancer_35241019",0.0228114228390943,0.0599394620633914,0.0774847046182648,0.08351902124437,0.108456499895019,0.108940592860971,0.358282907782486,0.3775694685277,0.405277141788146,0.377223039993699,0.388509720557967,0.370258791578031
"Autophagy_Pan Cancer_36703967",-0.0703002842238136,-0.0466809945205873,0.00437491952256249,0.117208300625863,0.0913172616766353,0.178797735160848,0.361112130518477,0.365497957706542,0.398535506957551,0.365641838018114,0.347102876110998,0.31417721108182
"Autophagy_Pan Cancer_41554207",0.0811473875424668,0.0713401968652198,0.0960031485369059,0.096458975480948,0.0346074372022424,0.0689342344021323,0.37227070479257,0.313462044694076,0.42457713651805,0.370861134251701,0.358002885833633,0.336664402847596
"Autosis(autophagic_cell_death)_GeneCards",0.0554795654609155,0.0334915009904883,0.0702608674737359,0.0370745237997649,0.0881297091163447,0.12280748240749,0.375529613290684,0.388284741533394,0.399411754587543,0.370935723869855,0.394851306808974,0.382776205299489
"Cuproptosis_CuPCA",0.0575788659474998,0.0302960150933202,0.105388634838508,0.0392936761303485,0.0683807292033748,0.124074015309234,0.36048883941588,0.297689357898895,0.368308957482747,0.34305897470889,0.414129062993157,0.384503599412081
"Cuproptosis_GBM_36814929",0.115033094266182,0.188866894356173,0.260791966876236,-0.0790684422456726,0.230614714733275,0.0845905219882877,0.42160687152738,0.188530386262511,0.300600675915949,0.437007357244345,0.169359749110076,0.239217442538321
"Cuproptosis_GBM_Prognosis_37246211",0.175091671560653,0.180128658192217,0.0873521928294291,0.152607248201303,0.282336485438271,0.0145343154501655,0.514537523526507,0.301728576027317,0.348833175531242,0.434201364970698,0.20955953461544,0.157593829606399
"Cuproptosis_Glioma_36110851",0.115033094266182,0.188866894356173,0.260791966876236,-0.0790684422456726,0.230614714733275,0.0845905219882877,0.42160687152738,0.188530386262511,0.300600675915949,0.437007357244345,0.169359749110076,0.239217442538321
"Cuproptosis_HCC_36438201",0.115033094266182,0.188866894356173,0.260791966876236,-0.0790684422456726,0.230614714733275,0.0845905219882877,0.42160687152738,0.188530386262511,0.300600675915949,0.437007357244345,0.169359749110076,0.239217442538321
"Cuproptosis_HCC_36891150",0.115033094266182,0.188866894356173,0.260791966876236,-0.0790684422456726,0.230614714733275,0.0845905219882877,0.42160687152738,0.188530386262511,0.300600675915949,0.437007357244345,0.169359749110076,0.239217442538321
"Cuproptosis_LUAD_Prognosis_37434829",0.208005008646802,-0.282699211659542,0.0304597898523924,0.0372338972721565,-0.149171922037341,-0.0512898586312365,0.5350587276793,0.495092857812871,0.530585352599302,-0.128287947575361,0.435539850782654,0.254790348409706
"Cuproptosis_NAFLD_37822923",0.0045524128827602,0.183743750154263,-0.0237703529670424,0.0458241202667634,0.11981126343775,0.0481251853855684,0.444923516681347,0.320143447587382,0.310033187361969,0.524776704804114,0.27830146847024,0.395182871884449
